display_name,layer_type,layer_name,spatial_resolution_in_meters,ee_layer_name,db_dataset_name,geoserver_workspace_name,start_year,end_year,geoserver_layer_name,style_file_url,theme
CLART,raster,clart_raster,30,clart,CLART,clart,,,{district}_{block}_clart,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Hydrology/CLART-Layer-Style.qml,"water structure planning, clart"
Tree canopy cover density,raster,tree_canopy_cover_density_raster,25,tree_health_ccd,,ccd,,,tree_health_ccd_raster_{district}_{block}_{start_year},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Tree%20Health/ccd_style.qml,"tree cover, canopy density"
Tree cover change,raster,tree_cover_change_raster,25,tree_health_overall,Tree Overall Change Raster,tree_overall_ch,,,overall_change_raster_{district}_{block},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Tree%20Health/tree_cover_change.qml,"tree cover, change"
Tree canopy height,raster,tree_canopy_height_raster,25,tree_health_ch,,canopy_height,,,tree_health_ch_raster_{district}_{block}_{start_year},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Tree%20Health/tree_cover_change.qml,"tree cover, tree height"
Landscape restoration opportunities,raster,wri_restoration_raster,,restoration,Restoration Raster,restoration,,,restoration_{district}_{block}_raster,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Restoration/Restoration_style.qml,restoration
Water Balance,vector,water_balance_fortnightly_vector,,filtered_delta_g_fortnight_uid,Hydrology,mws_layers,,,deltaG_fortnight_{district}_{block},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/refs/heads/main/Hydrology/water_balance_fortnightly.qml,"hydrology, water balance, fortnightly"
WRI Restoration,vector,,,restoration_vector,Restoration Vector,restoration,,,restoration_{district}_{block}_vector,No style file ,restoration
Tree cover change,vector,tree_cover_change_vector,,tree_health_overall,Tree Overall Change Vector,tree_overall_ch,,,overall_change_vector_{district}_{block},No style file ,"tree cover, change"
Land Use Land Cover,vector,land_use_land_cover_vector,,lulc_vector,LULC,lulc_vector,,,lulc_vector_{district}_{block},https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/refs/heads/main/Agriculture/Lulc_vector.qml,land use land cover
,vector,,,crop_grid,Crop GridXlulc,crop_grid_layers,,,{district}_{block}_grid,No style file ,
,vector,,,lulcXplains_clusters,Terrain LULC,terrain_lulc,,,{district}_{block}_lulc_plain,No style file ,
,vector,,,lulcXslopes_clusters,,terrain_lulc,,,{district}_{block}_lulc_slope,No style file ,
,vector,,,,Drought Causality,drought_causality,,,{district}_{block}_drought_causality,No style file ,
Catchment Area,raster,catchment_area_singleflow_raster,30,catchment_area_raster,Catchment Area,catchment_area_singleflow,,,catchment_area_{district}_{block}_raster,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/refs/heads/main/Catchment/catchment_area_singleflow.qml,"hydrology, catchment"
Natural Depressions,raster,natural_depressions_raster,30,natural_depression_raster,Natural Depression,natural_depression,,,natural_depression_{district}_{block}_raster,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/refs/heads/main/Catchment/natural_depression.qml,"terrain, natural depressions"
Distance to Upstream Drainage Line,raster,distance_to_upstream_drainage_line_raster,30,distance_to_drainage_line_raster,Distance to Drainage Line,distance_nearest_upstream_DL,,,distance_to_drainage_line_{district}_{block}_raster,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/refs/heads/main/Hydrology/Distance_to_upstreamDL_style.qml,"hydrology, distance to drainage lines"
Stream Order,raster,stream_order_raster,,stream_order_raster,Stream Order,stream_order,,,stream_order_{district}_{block}_raster,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/refs/heads/main/Hydrology/Stream_order_raster_style.qml,"hydrology, stream order"
Slope Percentage,raster,slope_percentage_raster,,slope_percentage_raster,Slope Percentage,slope_percentage,,,{district}_{block}_slope_percentage_raster,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/refs/heads/main/Land/slope_percentage_style.qml,"terrain, slope"
Plantation Site Suitability,raster,site_suitability_raster,,site_suitability_raster,Site Suitability,plantation,,,{district}_{block}_site_suitability_raster,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/main/Land/site_suitability.qml,agrohorticulture
MWS Connectivity,vector,mws_connectivity_vector,,mws_connectivity_vector,Mws Connectivity,mws_connectivity,,,{district}_{block}_mws_connectivity,https://raw.githubusercontent.com/core-stack-org/QGIS-Styles/refs/heads/main/Hydrology/Mws_connectivity_style.qml,hydrology
Stream Order,vector,stream_order_vector,,stream_order_vector,Stream Order,stream_order,,,stream_order_{district}_{block}_vector,,
Facilities Proximity,vector,facilities_proximity_vector,,facilities_proximity,Facilities Proximity,facilities_proximity,,,facilities_{district}_{block},,
Green Credit,vector,green_credits_vector,,green_credit,Green Credit,green_credit,,,{district}_{block}_green_credit,,
Industry locations,vector,factory_csr_vector,,factory_csr,Factory CSR,factory_csr,,,{district}_{block}_factory_csr,,
Agroecological service organizations,vector,agroecological_vector,,agroecological,Agroecological,agroecological,,,{district}_{block}_agroecological,,
